datetime,ntal_cf_duEW,ntal_cf_duNS,ntal_cf_duV,ntol_cf_duEW,ntol_cf_duNS,ntol_cf_duV,hydl_cf_duEW,hydl_cf_duNS,hydl_cf_duV,hydl_cf_dg
2021-03-21 15:00:00,-0.00020805726,-0.00085943664,0.0013911468,,,,,,,
2021-03-21 18:00:00,-0.00019954052,-0.0009022663,0.0015249111,,,,,,,
2021-03-21 21:00:00,-0.00019377808,-0.0009488476,0.001653093,,,,,,,
2021-03-22 00:00:00,-0.00019654544,-0.0009980649,0.0018094984,,,,,,,
2021-03-22 03:00:00,-0.00020710927,-0.0010423909,0.0019610988,,,,,,,
2021-03-22 06:00:00,-0.00017437515,-0.0010218741,0.0019159588,,,,,,,
2021-03-22 09:00:00,-0.00013883307,-0.0009958826,0.0018015826,,,,,,,
2021-03-22 12:00:00,-0.0001116225,-0.0010086509,0.0017300752,0.0001283803,7.8810306e-05,0.00016621631,0.00045827712,0.00051591446,-0.00089423865,1.3942239
2021-03-22 15:00:00,-8.06178e-05,-0.0010079342,0.0016589705,,,,,,,
2021-03-22 18:00:00,-5.0161572e-05,-0.0010056401,0.00155951,,,,,,,
2021-03-22 21:00:00,-4.630477e-05,-0.0010055687,0.0015004888,,,,,,,
2021-03-23 00:00:00,-4.6868365e-05,-0.0010201895,0.0014775267,,,,,,,
2021-03-23 03:00:00,-5.9890554e-05,-0.0010192724,0.0014582284,,,,,,,
2021-03-23 06:00:00,-7.743567e-05,-0.0010057939,0.0013880789,,,,,,,
2021-03-23 09:00:00,-8.807652e-05,-0.0009931412,0.0013449065,,,,,,,
2021-03-23 12:00:00,-0.00010645084,-0.0009978543,0.0013561352,0.00013856769,3.744474e-05,-5.6008226e-05,0.0004558409,0.00051488425,-0.000846551,1.3916471
2021-03-23 15:00:00,-0.00012994664,-0.00100209,0.0014033722,,,,,,,
2021-03-23 18:00:00,-0.00015149327,-0.0010048156,0.0014057405,,,,,,,
2021-03-23 21:00:00,-0.00016048111,-0.0010062874,0.0014304742,,,,,,,
2021-03-24 00:00:00,-0.00015934824,-0.0010204713,0.0014423999,,,,,,,
2021-03-24 03:00:00,-0.00015232703,-0.0010176128,0.001392045,,,,,,,
2021-03-24 06:00:00,-0.00014503731,-0.0010182409,0.0013141369,,,,,,,
2021-03-24 09:00:00,-0.00013319383,-0.0010213786,0.0012227738,,,,,,,
2021-03-24 12:00:00,-0.00012969236,-0.0010270071,0.0011678508,0.00013671856,3.094916e-05,-9.488987e-05,0.0004487321,0.00050860725,-0.0007851315,1.3873167
2021-03-24 15:00:00,-0.0001362644,-0.0010132603,0.0011278747,,,,,,,
2021-03-24 18:00:00,-0.00014613378,-0.0009854615,0.0010231234,,,,,,,
2021-03-24 21:00:00,-0.0001386479,-0.00096007437,0.00096869183,,,,,,,
2021-03-25 00:00:00,-0.00014503721,-0.0009513076,0.0009895188,,,,,,,
2021-03-25 03:00:00,-0.00016952837,-0.00093307154,0.00094928907,,,,,,,
2021-03-25 06:00:00,-0.00017349677,-0.000922552,0.00089024246,,,,,,,
2021-03-25 09:00:00,-0.00016418535,-0.0009241945,0.00087001105,,,,,,,
2021-03-25 12:00:00,-0.00016975014,-0.0009348435,0.0009359012,0.00014306612,4.9820963e-05,-9.1100956e-05,0.00044459978,0.0005059936,-0.00074797886,1.3894843
2021-03-25 15:00:00,-0.00016503686,-0.0009311933,0.000976457,,,,,,,
2021-03-25 18:00:00,-0.00015288302,-0.0009240819,0.0009588492,,,,,,,
2021-03-25 21:00:00,-0.00012548362,-0.0009165964,0.00094972516,,,,,,,
2021-03-26 00:00:00,-8.8651344e-05,-0.0009226155,0.0009849471,,,,,,,
2021-03-26 03:00:00,-5.8833168e-05,-0.0009112,0.00097535015,,,,,,,
2021-03-26 06:00:00,-3.5576228e-05,-0.00089700794,0.0009274048,,,,,,,
2021-03-26 09:00:00,1.05061445e-05,-0.0008798057,0.0009160129,,,,,,,
2021-03-26 12:00:00,4.9691393e-05,-0.0008590802,0.00090263033,0.0001654245,3.2868105e-05,-0.0001790888,0.0004389765,0.00050194655,-0.00072106393,1.3879689
2021-03-26 15:00:00,6.318847e-05,-0.0008300036,0.0008827428,,,,,,,
2021-03-26 18:00:00,9.482548e-05,-0.00081919756,0.00081591564,,,,,,,
2021-03-26 21:00:00,0.00012329155,-0.0008141316,0.00076100696,,,,,,,
2021-03-27 00:00:00,0.00014633941,-0.0008139639,0.0007407132,,,,,,,
2021-03-27 03:00:00,0.00016862208,-0.000805181,0.00069192343,,,,,,,
2021-03-27 06:00:00,0.00019220286,-0.0008017598,0.0006158373,,,,,,,
2021-03-27 09:00:00,0.00020662589,-0.000817141,0.0006258618,,,,,,,
2021-03-27 12:00:00,0.00021351512,-0.0008451483,0.0006180256,0.0001746315,2.7972555e-06,-0.00034491392,0.00043376922,0.0004966351,-0.0006977519,1.3833084
2021-03-27 15:00:00,0.00020301531,-0.0008859561,0.00065854704,,,,,,,
2021-03-27 18:00:00,0.00017684053,-0.0009553727,0.00077750866,,,,,,,
2021-03-27 21:00:00,0.00016157045,-0.0010171579,0.0008887826,,,,,,,
2021-03-28 00:00:00,0.00019495428,-0.0010372571,0.0008863381,,,,,,,
2021-03-28 03:00:00,0.00023869838,-0.001029778,0.000860581,,,,,,,
2021-03-28 06:00:00,0.000289856,-0.0010203251,0.0007918878,,,,,,,
2021-03-28 09:00:00,0.00032673037,-0.0010160903,0.00077876315,,,,,,,
